ticker,name,current_price,per,forward_per,pbr,eps,forward_eps,bps,dividend_yield,industry_per,target_price,opinion,high_52w,low_52w,recent_high,recent_low,ma_200,trend,momentum_12m,drop_52w,volatility_60d,smart_guide,momentum_diag,risk_grade,updated_at
084370,유진테크,134000.0,72.32,,6.58,1853.0,,20368.0,,,,,231500.0,44500.0,140400.0,99000.0,118921.0,━ 박스권세,2.0876,-0.4212,1.4627,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
086390,유니테스트,10530.0,-10.01,,2.21,-984.0,,4773.0,,,,,23700.0,6030.0,11610.0,7150.0,14757.0,▼ 하락추세,-0.1709,-0.5557,1.114,▼ 바닥확인,▼ 자금이탈,▼ 소액접근,2026-08-30 09:01:30
086520,에코프로,90200.0,-74.07,,6.17,-1103.0,,14608.0,,,,,190000.0,45550.0,95800.0,72200.0,118485.0,▼ 하락추세,0.738,-0.5253,1.0488,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
086790,하나금융지주,136000.0,9.64,7.564166,0.83,14110.0,,164776.0,,,162809.53,적극매수,142500.0,80500.0,136200.0,122000.0,113300.0,▲ 수급유입,0.6133,-0.0456,0.4768,▲ 추세탑승,▲ 주도대장,▼ 비중조절,2026-08-30 09:01:30
089030,테크윙,49900.0,198.02,,8.29,252.0,,6018.0,,,,,74000.0,29700.0,51700.0,36000.0,50674.0,▼ 하락추세,0.7853,-0.3257,1.3086,▼ 하락관망,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
089970,브이엠,58000.0,56.97,,8.5,1018.0,,6824.0,,,,,122100.0,11380.0,73800.0,54400.0,50968.0,━ 박스권세,4.1418,-0.525,1.614,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
090710,휴림로봇,6650.0,-44.8,,6.23,-148.0,,1068.0,,,,,26600.0,2505.0,8040.0,5740.0,9840.0,▼ 하락추세,1.4539,-0.75,0.8981,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
091170,KODEX 은행,16360.0,,,,,,,,,,,17725.0,11140.0,16543.0,15058.0,14408.0,▲ 수급유입,0.4711,-0.077,0.4239,▲ 상승유지,▲ 실적지속,▼ 비중조절,2026-08-30 09:01:30
091180,KODEX 자동차,28060.0,,,,,,,,,,,42670.0,18790.0,32085.0,26605.0,29923.0,▼ 하락추세,0.4367,-0.3424,0.5522,▼ 하락관망,▲ 실적지속,▼ 비중조절,2026-08-30 09:01:30
093370,후성,12520.0,250.4,18.714499,4.02,50.0,,3118.0,,,20000.0,매수,23550.0,5450.0,14740.0,7600.0,10328.0,━ 박스권세,1.5921,-0.4684,1.5617,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
094820,일진파워,12130.0,9.85,,1.24,1231.0,,9773.0,,,,,24500.0,9010.0,13500.0,9800.0,14389.0,▼ 하락추세,0.1939,-0.5049,0.8564,▼ 바닥확인,▲ 시장동행,▼ 소액접근,2026-08-30 09:01:30
095340,ISC,173400.0,65.48,,6.61,2648.0,,26223.0,,,,,292500.0,55100.0,182400.0,118800.0,165738.0,▲ 수급유입,1.8287,-0.4072,1.0796,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
095610,테스,142700.0,49.46,,6.46,2885.0,,22090.0,,,,,236500.0,27950.0,157500.0,122100.0,93280.0,━ 박스권세,4.4674,-0.3966,1.5644,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
096770,SK이노베이션,116900.0,-5.93,13.762366,0.9,-21056.0,,129848.0,,,145250.0,매수,155400.0,87700.0,134500.0,103700.0,115546.0,▲ 수급유입,0.03,-0.2477,0.7892,▲ 분할매수,━ 방향탐색,▼ 소액접근,2026-08-30 09:01:30
098460,고영,28700.0,133.49,,5.65,215.0,,5079.0,,,,,45000.0,13800.0,33100.0,24200.0,29462.0,▼ 하락추세,0.8783,-0.3622,1.151,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
100090,SK오션플랜트,13830.0,22.13,21.856974,1.06,625.0,,13037.0,,,23400.0,매수,31600.0,11010.0,15100.0,11950.0,18741.0,▼ 하락추세,-0.2933,-0.5623,1.2492,▼ 바닥확인,▼ 자금이탈,▼ 소액접근,2026-08-30 09:01:30
100130,동국S&C,1421.0,-44.97,,0.43,-29.0,,3331.0,,,,,2795.0,1229.0,1703.0,1278.0,1931.0,▼ 하락추세,-0.4823,-0.4916,0.6324,▼ 바닥확인,▼ 자금이탈,▼ 소액접근,2026-08-30 09:01:30
100840,SNT에너지,32500.0,7.97,6.8370275,1.76,4080.0,,18458.0,,,61666.668,none,67900.0,21200.0,33300.0,23000.0,39916.0,▼ 하락추세,-0.3689,-0.5214,0.8621,▼ 바닥확인,▼ 자금이탈,▼ 소액접근,2026-08-30 09:01:30
101490,에스앤에스텍,41200.0,15.16,,2.83,2718.0,,14549.0,,,,,108400.0,31900.0,47100.0,37850.0,66280.0,▼ 하락추세,-0.1953,-0.6199,0.9459,▼ 바닥확인,▼ 자금이탈,▼ 소액접근,2026-08-30 09:01:30
102960,KODEX 기계장비,14200.0,,,,,,,,,,,22000.0,10500.0,14375.0,11605.0,15670.0,▼ 하락추세,0.2701,-0.3545,0.69,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
102970,KODEX 증권,18525.0,,,,,,,,,,,34170.0,12460.0,20460.0,17475.0,21586.0,▼ 하락추세,0.4259,-0.4579,0.6965,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
103590,일진전기,72600.0,33.32,17.760164,5.88,2179.0,,12347.0,,,114200.0,매수,147900.0,33500.0,76300.0,49050.0,74288.0,▼ 하락추세,0.76,-0.5091,0.9873,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
105560,KB금융,171600.0,11.35,8.609896,1.04,15116.0,,164669.0,,,213395.0,적극매수,194500.0,105800.0,176900.0,159500.0,150009.0,▲ 수급유입,0.5529,-0.1177,0.5015,▲ 추세탑승,▲ 주도대장,▼ 비중조절,2026-08-30 09:01:30
105840,우진,14060.0,32.7,16.818182,1.43,430.0,,9841.0,,,32000.0,none,31700.0,10330.0,15850.0,11540.0,20025.0,▼ 하락추세,0.2899,-0.5565,0.9627,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
107640,한중엔시에스,41500.0,93.47,,4.02,444.0,,10316.0,,,,,73000.0,23200.0,42000.0,25950.0,46601.0,▼ 하락추세,0.2576,-0.4315,1.0066,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
108320,LX세미콘,37200.0,7.32,8.676235,0.54,5081.0,,69207.0,,,46500.0,none,67300.0,29500.0,42600.0,30950.0,49592.0,▼ 하락추세,-0.3381,-0.4473,0.704,▼ 바닥확인,▼ 자금이탈,▼ 소액접근,2026-08-30 09:01:30
